utc_date,utc_time,deg_C
20050101,0100,9.6
20050101,0200,8.8
20050101,0300,7.1
20050101,0400,6.4
20050101,0500,5.5
20050101,0600,5.1
20050101,0700,5.0
20050101,0800,5.6
20050101,0900,4.7
20050101,1000,4.8
20050101,1100,4.0
20050101,1200,5.2
20050101,1300,5.5
20050101,1400,6.7
20050101,1500,10.1
20050101,1600,13.6
20050101,1700,17.1
20050101,1800,18.9
20050101,1900,19.3
20050101,2000,18.2
20050101,2100,16.4
20050101,2200,14.0
20050101,2300,11.2
20050102,0000,9.4
20050102,0100,8.4
20050102,0200,8.0
20050102,0300,7.8
20050102,0400,7.6
20050102,0500,7.7
20050102,0600,7.6
20050102,0700,6.7
20050102,0800,7.3
20050102,0900,8.3
20050102,1000,9.1
20050102,1100,9.5
20050102,1200,9.7
20050102,1300,9.9
20050102,1400,10.1
20050102,1500,10.6
20050102,1600,11.6
20050102,1700,11.9
20050102,1800,12.8
20050102,1900,15.2
20050102,2000,15.8
20050102,2100,14.5
20050102,2200,13.6
20050102,2300,12.7
20050103,0000,11.8
20050103,0100,11.4
20050103,0200,11.0
20050103,0300,10.6
20050103,0400,10.5
20050103,0500,10.0
20050103,0600,10.4
20050103,0700,9.8
20050103,0800,9.4
20050103,0900,9.3
20050103,1000,9.2
20050103,1100,8.5
20050103,1200,7.9
20050103,1300,8.0
20050103,1400,9.4
20050103,1500,10.6
20050103,1600,11.9
20050103,1700,13.7
20050103,1800,16.0
20050103,1900,15.2
20050103,2000,15.0
20050103,2100,14.9
20050103,2200,13.9
20050103,2300,12.6
20050104,0000,12.0
20050104,0100,11.7
20050104,0200,11.8
20050104,0300,11.9
20050104,0400,11.9
20050104,0500,11.8
20050104,0600,11.9
20050104,0700,11.6
20050104,0800,11.8
20050104,0900,11.8
20050104,1000,11.8
20050104,1100,11.8
20050104,1200,11.7
20050104,1300,11.7
20050104,1400,12.0
20050104,1500,12.8
20050104,1600,13.8
20050104,1700,14.4
20050104,1800,14.0
20050104,1900,13.8
20050104,2000,13.8
20050104,2100,13.5
20050104,2200,13.3
20050104,2300,12.8
20050105,0000,12.0
20050105,0100,10.6
20050105,0200,9.5
20050105,0300,9.0
20050105,0400,8.3
20050105,0500,8.1
20050105,0600,8.2
20050105,0700,8.4
20050105,0800,8.8
20050105,0900,8.6
20050105,1000,9.0
20050105,1100,8.4
20050105,1200,8.4
20050105,1300,8.1
20050105,1400,10.0
20050105,1500,11.6
20050105,1600,13.8
20050105,1700,15.5
20050105,1800,16.7
20050105,1900,16.6
20050105,2000,14.7
20050105,2100,14.3
